epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5763,2.21382,4.40593,2.13404,0.18311,0.17166,0.09554,0.03634,2.28849,5.38201,2.29215,0.00038583,0.00038583,0.00038583
2,63.1876,1.99259,2.73681,1.89441,0.38954,0.05983,0.03073,0.0097,3.10843,4.65369,3.06098,0.000779466,0.000779466,0.000779466
3,90.3762,2.02934,2.42066,1.86759,0.48182,0.09026,0.09105,0.03351,2.41249,4.17548,2.86286,0.0011665,0.0011665,0.0011665
4,116.851,2.06486,2.4647,1.97774,0.08967,0.23295,0.06721,0.02033,2.69188,8.35655,3.1304,0.00139363,0.00139363,0.00139363
5,145.293,2.08663,2.46057,1.97678,0.44127,0.16192,0.07244,0.02469,2.35826,5.72071,2.57197,0.00138184,0.00138184,0.00138184
6,170.611,2.02468,2.4382,1.96058,0.43025,0.23358,0.1146,0.0345,2.40879,4.91079,2.51788,0.00137005,0.00137005,0.00137005
7,198.642,1.9688,2.23887,1.86189,0.2704,0.23984,0.22568,0.07198,2.33267,3.41533,2.4293,0.00135826,0.00135826,0.00135826
8,224.801,2.00427,2.22409,1.88888,0.4717,0.24917,0.10726,0.03972,2.48137,3.29087,2.54159,0.00134648,0.00134648,0.00134648
9,252.736,1.96516,2.2677,1.85733,0.19547,0.26508,0.17817,0.06663,2.24801,3.23446,2.28507,0.00133469,0.00133469,0.00133469
10,278.424,1.96832,2.15106,1.83934,0.5759,0.23691,0.21928,0.0913,2.10716,2.50981,2.17613,0.0013229,0.0013229,0.0013229
11,307.16,1.97799,2.13092,1.87409,0.1942,0.38694,0.21238,0.0731,2.08896,2.83937,2.23685,0.00131111,0.00131111,0.00131111
12,331.939,1.92855,2.10498,1.81508,0.26013,0.28158,0.22107,0.09815,2.0718,2.53191,2.05474,0.00129932,0.00129932,0.00129932
13,361.097,1.91816,2.07171,1.79947,0.58215,0.28846,0.20549,0.08261,2.19044,2.55898,2.26743,0.00128753,0.00128753,0.00128753
14,387.337,1.92105,2.01059,1.811,0.60862,0.3301,0.26878,0.10444,2.16196,2.24334,2.21887,0.00127574,0.00127574,0.00127574
15,414.497,1.91405,2.08708,1.81095,0.20815,0.28452,0.18582,0.06862,2.21656,2.64481,2.18014,0.00126395,0.00126395,0.00126395
16,440.473,1.89207,1.99175,1.8073,0.20396,0.40356,0.20456,0.08766,2.13811,2.24839,2.10398,0.00125216,0.00125216,0.00125216
17,468.82,1.89134,1.99289,1.79447,0.55386,0.33647,0.22901,0.09865,2.10051,2.26407,2.12375,0.00124037,0.00124037,0.00124037
18,495.274,1.84431,1.93214,1.77996,0.28193,0.36784,0.28342,0.10963,2.11755,2.27245,2.17675,0.00122858,0.00122858,0.00122858
19,522.965,1.89563,1.97732,1.82629,0.25941,0.39426,0.26238,0.11548,2.18949,2.28609,2.17307,0.00121679,0.00121679,0.00121679
20,549.263,1.85785,1.93755,1.81473,0.20742,0.30362,0.20301,0.0831,2.11584,2.36196,2.10939,0.001205,0.001205,0.001205
21,576.915,1.85859,1.90492,1.75393,0.54229,0.33818,0.24554,0.10922,2.05669,2.26943,2.06304,0.00119322,0.00119322,0.00119322
22,602.899,1.83171,1.91916,1.76192,0.25447,0.37421,0.23069,0.08742,2.1357,2.3706,2.11746,0.00118143,0.00118143,0.00118143
23,631.216,1.81449,1.91303,1.75066,0.27697,0.44272,0.33683,0.15445,2.04601,2.10311,2.08309,0.00116964,0.00116964,0.00116964
24,658.256,1.81899,1.86678,1.75324,0.30018,0.39482,0.31023,0.14091,2.04087,2.09888,2.02102,0.00115785,0.00115785,0.00115785
25,686.047,1.81153,1.8168,1.74151,0.2938,0.32858,0.27786,0.12239,2.05302,2.19768,2.08537,0.00114606,0.00114606,0.00114606
26,711.994,1.79532,1.80876,1.7379,0.25481,0.46337,0.27495,0.11578,2.07617,2.12825,2.09146,0.00113427,0.00113427,0.00113427
27,739.541,1.80038,1.83231,1.74832,0.27101,0.37427,0.28561,0.12073,2.07127,2.12812,2.08983,0.00112248,0.00112248,0.00112248
28,766.24,1.8141,1.84097,1.76749,0.29076,0.36244,0.32277,0.14263,2.06648,2.19396,2.07092,0.00111069,0.00111069,0.00111069
29,793.241,1.7951,1.79916,1.73845,0.24093,0.46438,0.30284,0.14133,2.05816,2.08062,2.05716,0.0010989,0.0010989,0.0010989
30,819.34,1.78168,1.78,1.74427,0.27669,0.32367,0.28865,0.12418,2.15638,2.25056,2.13924,0.00108711,0.00108711,0.00108711
31,846.754,1.79533,1.79411,1.72564,0.26515,0.39793,0.27281,0.1143,2.08452,2.2332,2.09808,0.00107532,0.00107532,0.00107532
32,873.642,1.7363,1.73015,1.688,0.27445,0.42713,0.32383,0.13379,2.11197,2.17,2.10089,0.00106353,0.00106353,0.00106353
33,900.459,1.74769,1.69014,1.69585,0.32402,0.40857,0.32297,0.14513,1.97807,1.92574,2.03854,0.00105174,0.00105174,0.00105174
34,928.306,1.74189,1.65566,1.67974,0.32792,0.35409,0.30681,0.14653,2.0216,2.11129,2.08009,0.00103995,0.00103995,0.00103995
35,955.925,1.72395,1.67609,1.68073,0.3723,0.37853,0.29464,0.12965,1.99144,2.17077,2.03974,0.00102817,0.00102817,0.00102817
36,983.701,1.70008,1.6372,1.66168,0.25164,0.40756,0.31699,0.14508,1.99829,2.15537,2.06379,0.00101638,0.00101638,0.00101638
